state,load_value,time
J & K,2116,1713075107.5385203
PUNJAB,5297,1713075107.5385203
RAJASTHAN,11765,1713075107.5385203
UTTARAKHAND,1416,1713075107.5385203
UTTAR-PRADESH,14806,1713075107.5385203
CHANDIGARH,166,1713076007.6451201
HARYANA,4276,1713076007.6451201
HIMACHAL,1296,1713076007.6451201
J & K,2118,1713076007.6451201
PUNJAB,5173,1713076007.6451201
RAJASTHAN,11725,1713076007.6451201
UTTARAKHAND,1448,1713076007.6451201
UTTAR-PRADESH,14810,1713076007.6451201
CHANDIGARH,164,1713076938.683958
HARYANA,4291,1713076938.683958
HIMACHAL,1271,1713076938.683958
J & K,2116,1713076938.683958
PUNJAB,5153,1713076938.683958
RAJASTHAN,11445,1713076938.683958
UTTARAKHAND,1468,1713076938.683958
UTTAR-PRADESH,14636,1713076938.683958
CHANDIGARH,162,1713077807.086861
HARYANA,4262,1713077807.086861
HIMACHAL,1245,1713077807.086861
J & K,2085,1713077807.086861
PUNJAB,4973,1713077807.086861
RAJASTHAN,11484,1713077807.086861
UTTARAKHAND,1435,1713077807.086861
UTTAR-PRADESH,14221,1713077807.086861
CHANDIGARH,137,1713078849.0818977
HARYANA,4239,1713078849.0818977
HIMACHAL,1206,1713078849.0818977
J & K,2105,1713078849.0818977
PUNJAB,4835,1713078849.0818977
RAJASTHAN,11429,1713078849.0818977
UTTARAKHAND,1376,1713078849.0818977
UTTAR-PRADESH,14069,1713078849.0818977
CHANDIGARH,162,1713079607.478392
HARYANA,4256,1713079607.478392
HIMACHAL,1189,1713079607.478392
J & K,2077,1713079607.478392
PUNJAB,4849,1713079607.478392
RAJASTHAN,11150,1713079607.478392
UTTARAKHAND,1369,1713079607.478392
UTTAR-PRADESH,14066,1713079607.478392
CHANDIGARH,152,1713080508.2868657
HARYANA,4146,1713080508.2868657
HIMACHAL,1143,1713080508.2868657
J & K,2101,1713080508.2868657
PUNJAB,4716,1713080508.2868657
RAJASTHAN,10823,1713080508.2868657
UTTARAKHAND,1334,1713080508.2868657
UTTAR-PRADESH,13771,1713080508.2868657
CHANDIGARH,146,1713081438.4724903
HARYANA,4156,1713081438.4724903
HIMACHAL,1061,1713081438.4724903
J & K,1885,1713081438.4724903
PUNJAB,4642,1713081438.4724903
RAJASTHAN,10789,1713081438.4724903
UTTARAKHAND,1256,1713081438.4724903
UTTAR-PRADESH,13515,1713081438.4724903
CHANDIGARH,144,1713082307.458034
HARYANA,4242,1713082307.458034
HIMACHAL,1088,1713082307.458034
J & K,1870,1713082307.458034
PUNJAB,4653,1713082307.458034
RAJASTHAN,10782,1713082307.458034
UTTARAKHAND,1255,1713082307.458034
UTTAR-PRADESH,13535,1713082307.458034
CHANDIGARH,147,1713083207.3669808
HARYANA,4306,1713083207.3669808
HIMACHAL,1057,1713083207.3669808
J & K,1884,1713083207.3669808
PUNJAB,4814,1713083207.3669808
RAJASTHAN,11200,1713083207.3669808
UTTARAKHAND,1248,1713083207.3669808
UTTAR-PRADESH,13522,1713083207.3669808
CHANDIGARH,148,1713084138.714412
HARYANA,4363,1713084138.714412
HIMACHAL,1075,1713084138.714412
J & K,2047,1713084138.714412
PUNJAB,4835,1713084138.714412
RAJASTHAN,10465,1713084138.714412
UTTARAKHAND,1269,1713084138.714412
UTTAR-PRADESH,13532,1713084138.714412
CHANDIGARH,156,1713085007.4122355
